property_type,state,lat,lon,area_m2,price_usd
house,,23.1243988,113.2475087,252.8,$60252.73
apartment,,1.2061176,31.8164031,180.6,$255907.47
apartment,,39.534154,113.087107,199.2,$124115.77
house,,23.113478,113.417068,171.6,$248281.44
apartment,,-6.9775856,110.5424021,276.2,$182012.61
apartment,,-12.182745,-39.2167652,441.7,$159849.72
apartment,,-7.0062,112.0295,345.2,$31096.63
house,,,140.5177769,310.1,$223413.06
apartment,,49.508379,19.9809619,383.9,$158132.25
house,,15.8874377,-87.8537478,166.4,$68500.38
house,Oaxaca,19.3579802,-99.0806088,348.7,$280559.16
apartment,,51.361479,15.7613834,319.9,$68177.35
apartment,,-6.761747,111.486801,93.6,$234373.79
house,,45.1810363,19.9442694,350.2,$202625.71
house,,6.4990277,3.3880288,93.7,$299863.32
apartment,,23.0668254,113.2996685,110.4,$104461.50
apartment,,31.878735,117.26467,406.2,$36529.38
house,,60.7428382,22.5352853,465.1,$219433.96
apartment,,,114.1751471,97.4,$59983.32
apartment,,-6.9621,112.9277,281.6,$285365.10
apartment,,33.5449468,131.4194175,178.4,$62448.10
house,,-28.4354702,-52.8312661,282.6,$111556.99
apartment,Alberta,53.3524256,-113.4153735,198.5,$108092.57
house,,-43.7567555,172.0223196,204.9,$195628.03
house,Veracruz Llave,,-99.5145127,386.6,$61735.98
apartment,,47.92681,106.9150401,298.4,$187510.78
house,,47.9644609,106.8254167,451.3,$198612.72
house,,13.32887,44.21708,397.3,$61080.37
apartment,,-33.9905526,18.666796,430.5,$265012.78
house,,13.783333,44.783333,237.9,$33403.32
apartment,Lisboa,38.7063132,,461.8,$282806.54
apartment,Washington,47.6120759,-122.1112721,249.5,$32557.32
house,Provence-Alpes-Côte d'Azur,48.8588363,2.3477753,128.6,$294378.74
apartment,Ohio,39.1822152,-84.4225186,377.2,$194293.75
house,,13.5936457,123.5205279,268.6,$225829.12
house,,12.2651512,-85.0778886,451.0,$241304.45
house,,2.449478,,168.8,$181666.12
house,,,-78.1507423,238.2,$72248.03
apartment,Gävleborg,60.6430311,17.0082511,89.7,$58380.84
apartment,,14.49393,-90.7090795,131.7,$219873.14
house,Île-de-France,48.6939078,2.3491182,308.8,$290860.90
apartment,,42.0993861,27.9407145,462.1,$239385.54
house,,49.4390256,16.6408689,409.5,$227286.99
apartment,,-8.0820572,113.1158644,455.5,$73873.81
apartment,,-29.5137043,-51.99249,423.5,$152070.10
apartment,,-6.5445698,106.22868,220.0,$89323.65
apartment,,-33.2843846,-66.3381678,113.9,$68017.33
house,,39.616759,110.71836,95.8,$146612.19
apartment,,26.5363305,88.0803051,362.9,$265585.23
apartment,,54.11215,-9.151825,236.2,$207801.99
house,,-6.4610391,106.6989632,220.5,$108751.77
apartment,,49.7370109,17.427878,228.5,$98112.86
apartment,,20.7887571,97.0337141,401.6,$94306.54
house,,36.628305,101.765843,473.4,$183759.57
apartment,,21.6936233,-78.6313624,268.0,$129421.27
house,,-12.417342,-38.7158702,499.3,$248493.50
house,,59.1655805,35.3248919,475.8,$157284.86
house,,,35.28774,210.4,$293851.55
house,,32.165,108.8822222,80.4,$259538.49
apartment,Kalmar,57.7577156,16.6369759,97.8,$32315.23
apartment,District of Columbia,38.8827087,-77.0163235,134.2,$270063.23
house,,9.159579,118.1437875,121.2,$24968.07
house,,32.068424,34.824785,156.7,$205989.63
house,,-5.98978,-37.9466737,223.3,$145078.47
apartment,,30.049992,121.159547,246.7,$299889.09
house,,39.2604149,125.861953,411.2,$219641.81
house,Aveiro,40.4489303,-8.6745086,266.7,$295479.92
apartment,,52.1074714,21.249732,159.7,$222208.77
house,,-6.9918507,106.5878723,447.3,$161442.68
house,,31.8948117,117.3279441,93.8,$74864.98
apartment,,60.7905791,24.9298029,456.5,$214032.59
house,,8.0335995,2.4851463,414.8,$278599.80
house,,-7.3630592,108.7066398,470.4,$285976.05
house,,-8.073071,113.1173534,348.0,$60473.38
apartment,Cantabria,43.4590202,-3.8254599,260.5,$245048.89
house,Setúbal,38.6134405,-9.0019336,446.1,$167526.68
house,,34.1777698,108.8682333,303.9,$269450.39
apartment,,-34.5926613,-58.5197163,187.1,$74062.85
apartment,,9.159579,118.1437875,95.3,$166337.65
house,,45.4942402,18.0674023,490.6,$232200.94
apartment,,28.074649,119.141473,87.7,$219833.67
house,,30.128901,104.627636,482.3,$121733.70
house,Washington,47.1139164,-122.7708828,144.5,$212014.58
apartment,,55.5792489,37.604585,269.1,$74088.82
apartment,Värmland,59.3192962,13.5389591,115.1,$178397.53
house,,39.704676,122.955872,150.7,$120782.43
apartment,,16.8047297,99.1013498,211.9,$31794.53
house,,28.880567,108.39453,455.1,$78614.10
house,,37.9253691,23.7006539,370.9,$189422.43
house,,35.1742194,33.205422,442.3,$99949.01
house,England,54.9418362,-2.0871107,445.9,$196759.24
apartment,,42.9203458,21.7421911,338.1,$161561.39
house,,-7.9454654,,261.5,$85167.24
house,Kuala Lumpur,3.139199,101.7324927,395.0,$183371.25
house,Texas,29.385634,-98.5254159,435.2,$49304.33
house,Ontario,46.215926,-63.0886099,243.9,$204763.39
apartment,,8.2321816,124.602106,370.8,$70980.48
apartment,,-54.8079502,-68.3214955,430.3,$128839.52
apartment,,33.4049794,49.6962428,312.7,$101004.12
apartment,,-7.9481229,110.3130087,365.0,$52421.09
apartment,,36.837625,112.864561,479.6,$253915.66
apartment,,17.5767798,104.5946633,479.0,$173368.66
house,,11.229568,123.6962232,263.9,$95712.28
house,,15.01667,48.01667,158.4,$158681.59
apartment,,52.9029991,,226.8,$120964.38
apartment,,,104.668879,122.9,$110242.07
house,,-7.7823871,110.374855,193.3,$275604.66
house,,37.189822,112.176206,168.9,$32219.90
apartment,Arizona,33.3107008,-111.8749872,260.9,$259508.48
apartment,,35.70178,65.23055,323.7,$69828.60
apartment,,32.809026,110.112629,177.0,$188121.74
house,,15.8,43.333333,101.7,$240087.32
house,,29.1416432,119.7889248,479.7,$75538.78
house,,50.9129256,16.432166,291.5,$168061.31
house,Västra Götaland,57.9675068,12.577321,451.3,$291884.01
house,,42.5246357,87.5395855,205.1,$203425.98
house,Florida,27.8436202,-82.7036033,293.3,$150005.05
apartment,,-6.1126806,106.8806295,145.4,$180121.28
apartment,,49.7370109,17.427878,319.9,$246709.39
apartment,,-24.8096387,-56.5196111,111.5,$22463.31
apartment,,33.580873,,346.8,$228078.95
house,,-7.0408631,113.9250575,120.0,$120739.13
house,,34.703309,119.483305,208.7,$197796.69
house,,22.44668,114.033953,386.1,$228495.35
house,Washington,47.6508882,-122.3084023,379.1,$233830.79
apartment,,51.1981241,18.191303,333.5,$179614.26
apartment,,39.0392193,125.7625241,360.7,$56872.58
apartment,,38.021567,114.847075,292.0,$105690.89
house,,48.8902362,36.308001,487.8,$197805.88
house,,52.182599,20.5627943,436.5,$24623.99
house,,23.101153,113.228291,243.5,$116568.99
apartment,,-33.6167,-70.5667,337.2,$198109.31
apartment,,50.8177069,15.7230035,92.3,$134694.24
apartment,Skåne,55.9128355,13.0879461,88.5,$132780.47
house,,-22.8109177,47.3302847,126.0,$249910.54
apartment,,14.5668553,120.9987005,363.4,$32671.77
apartment,,50.6227967,16.4623415,263.1,$120021.04
apartment,,52.8996249,28.6709271,361.7,$158975.08
house,,35.2868468,138.8850313,95.5,$43557.25
house,,48.6282422,38.3727153,371.9,$50247.77
apartment,,54.2796,28.7649,388.3,$66824.21
apartment,Chiapas,19.5037694,-99.1324282,425.9,$179153.44
house,,-6.9175575,111.5140386,312.9,$91300.82
house,,-6.9000441,112.9029014,153.8,$78916.81
apartment,,9.8411782,123.9121342,374.7,$273059.58
apartment,,13.9142931,-87.921223,456.7,$213905.82
house,,,109.410683,383.5,$249990.60
house,,19.727097,110.319788,467.0,$249513.03
apartment,,10.018056,125.663981,336.6,$117957.00
apartment,,0.9073068,123.2559847,105.9,$117543.79
apartment,,-30.2609293,-57.5929166,83.8,$296143.33
apartment,,55.874736,26.536179,292.5,$74742.02
apartment,,-8.2412718,112.0744643,150.1,$299793.77
apartment,,52.2552455,19.8684556,354.5,$147924.72
house,,35.797997,112.92392,454.3,$279070.45
house,,,118.136378,164.7,$93284.10
apartment,,-24.8763773,-54.9322782,189.2,$38582.79
apartment,,13.4354977,121.8184253,486.7,$239351.02
house,,15.187831,120.057435,419.7,$74129.18
apartment,,23.624141,116.289146,111.5,$189548.91
house,,-5.2755737,-79.1048501,208.6,$193445.24
house,,52.9376808,87.9774328,81.8,$51730.97
house,,12.3420676,,203.3,$225535.90
house,,-7.356466,108.207518,325.0,$225287.47
house,,55.889724,60.7444752,493.2,$204382.37
house,Östergötland,58.7243769,,123.6,$84842.09
apartment,,-11.806679,-77.1657716,175.5,$286196.72
apartment,,,113.8589235,375.9,$291295.13
house,,24.134378,90.7860057,130.4,$143139.37
house,,26.0411298,68.9203839,316.1,$59281.33
apartment,,40.752984,-73.9145038,236.1,$37936.20
house,Pennsylvania,40.44,-79.98,423.1,$117861.11
house,,-35.229035,173.94869,274.5,$52041.87
apartment,,27.885191,119.359142,493.1,$272220.03
house,,17.1566617,104.1331684,375.5,$70985.22
house,,45.847435,123.1998901,429.0,$101914.51
house,Rhône-Alpes,45.9018536,6.121072,278.7,$231899.27
apartment,,13.9619203,100.5461093,147.9,$119210.83
house,,5.3404492,37.4387894,135.4,$241082.08
apartment,Chihuahua,21.2811908,-89.6651628,183.2,$167929.38
house,,53.9208518,19.0295929,289.4,$53017.25
apartment,,9.914487,-84.179403,398.3,$125831.98
apartment,,44.441584,126.4510829,149.7,$168256.75
house,,32.959602,110.998005,485.8,$34973.02
house,,-20.6670494,-42.8618635,82.6,$191584.32
apartment,,35.7244483,71.2874209,475.5,$81394.51
house,,49.7030481,13.2772423,261.7,$207918.78
apartment,,35.621965,118.725698,254.1,$232299.49
apartment,Québec,45.86678,-74.08251,83.1,$52814.53
house,,16.3763389,102.1287289,483.6,$96557.80
apartment,,52.5187305,15.2372386,328.6,$256800.62
apartment,,27.318852,115.444319,488.4,$70162.07
apartment,,7.1069627,39.2011716,275.9,$58650.64
house,,28.2645193,68.4722695,187.6,$281762.35
house,,31.922974,118.663681,142.6,$274914.81
house,,14.5925105,121.0404991,486.2,$229801.44
house,,31.3694559,-5.7905653,111.0,$222765.34
apartment,,-31.48342,19.7582,82.1,$210796.98
apartment,,49.4390256,16.6408689,141.9,$101532.09
house,Florida,41.7396715,-85.9262162,184.0,$116608.99
apartment,Pulau Pinang,5.3523231,100.3573891,383.0,$125671.33
house,,-8.0934,112.463,109.5,$267535.79
apartment,,-8.1101209,112.3963638,150.2,$151921.32
house,,30.145729,120.589457,270.9,$152715.40
apartment,Île-de-France,48.989038,2.513543,398.1,$239967.84
apartment,,51.1691046,18.3941226,302.5,$182698.93
house,,,20.31619,453.0,$243508.40
apartment,,-15.3875259,28.3228165,213.3,$75405.89
house,,32.647371,35.421551,390.1,$117413.27
house,,-7.0727,108.0258,441.8,$63862.60
apartment,,5.2858205,-3.3036439,118.9,$195006.83
apartment,,52.804249,6.186692,438.9,$164653.48
apartment,,66.0733463,33.0544476,90.7,$72354.48
house,,8.3373304,99.923859,420.4,$146281.83
house,,34.527114,108.842622,418.8,$83394.82
house,Sor-Trondelag,63.4400274,10.4024274,168.7,$56012.00
apartment,Nord-Pas-de-Calais,44.1675867,2.0308233,286.3,$255207.48
house,,30.63963,114.385538,366.3,$148540.90
apartment,Leiria,39.7553682,-8.7451818,348.0,$137827.70
apartment,,-21.2397333,-48.1002024,321.3,$57069.70
house,,42.4466457,19.8827002,340.0,$221391.30
house,,19.0748796,105.1726816,470.2,$141638.92
apartment,,34.915946,,281.6,$260431.98
apartment,,-11.6604039,43.2726992,266.9,$28434.79
apartment,,49.8753,36.2827926,372.2,$233653.63
apartment,Lorraine,49.116169,6.1807997,369.0,$204146.14
apartment,,-14.0393995,-75.7051647,449.8,$266626.39
apartment,,-9.6670621,124.3754414,186.1,$132203.35
house,,45.9045993,19.0656051,136.7,$263567.48
apartment,,-31.646394,-63.760259,135.9,$290761.55
house,,31.746017,120.803452,109.5,$188419.81
house,,25.904305,112.203287,468.6,$254285.24
house,,55.5772494,39.526478,345.5,$184096.72
apartment,,54.0045473,27.6885079,278.5,$230215.45
house,,16.004175,120.7806412,467.0,$152622.30
house,,49.8073734,21.4331923,461.1,$243489.58
apartment,,37.646108,120.477813,261.4,$70077.53
apartment,,39.825495,116.288478,428.7,$200637.60
house,Budapest,,19.0544773,129.8,$263891.50
apartment,,33.207933,35.570246,407.2,$296579.86
apartment,Stockholm,59.1575081,18.1350248,426.5,$192089.85
apartment,Ontario,44.57629,-80.9206653,414.2,$146884.68
house,,39.618462,113.536462,132.1,$266305.65
house,Setúbal,38.4620145,-9.1700425,417.8,$113671.50
apartment,,-40.0642898,175.3488701,313.2,$85648.39
house,,12.532252,124.870243,95.1,$214896.02
apartment,,45.3652354,14.3926584,499.7,$113209.39
house,,37.1994932,126.8311887,101.8,$250568.76
house,Faro,37.1306168,-7.650062,194.8,$232315.81
house,,37.418091,106.066276,81.4,$125639.29
house,Mexico,19.3004022,-98.9341937,336.6,$244820.56
house,,31.811226,119.974061,383.9,$227888.43
apartment,,,20.4536838,179.6,$104585.69
house,British Columbia,54.2331,-125.7533,169.3,$81983.66
house,,50.6398985,15.8196702,297.9,$201145.94
house,,48.015883,37.80285,314.1,$113820.84
house,,-16.820257,-49.2473044,216.7,$219886.03
house,,-8.6470988,115.2229232,112.7,$259458.26
house,,40.0792114,124.3337947,388.0,$45212.03
apartment,,48.9893868,16.9151793,391.5,$291219.15
house,,-3.4206623,104.9856176,207.9,$93482.11
house,,32.313822,105.255491,381.9,$225152.63
house,,,36.8953954,473.3,$285212.15
house,,57.9788789,33.243615,372.7,$293697.48
house,,38.6218706,20.9089378,434.4,$289189.03
apartment,Faro,37.1073284,-8.7960152,371.5,$298419.23
apartment,,,-73.287406,142.3,$138709.76
house,,43.1617132,16.6926372,254.0,$89882.41
apartment,,55.61667,23.18333,397.3,$145932.32
apartment,,,9.5572045,105.6,$224328.28
house,,-8.496803,115.148803,282.5,$202035.08
apartment,British Columbia,49.47512,-123.75903,348.8,$151678.35
apartment,,63.0741927,25.8645193,298.9,$44723.40
house,,33.1911812,68.089484,132.6,$168036.25
apartment,,37.309045,117.157183,330.6,$147761.82
house,,45.1141124,41.0051614,259.3,$91220.65
house,,44.7381571,17.8240149,455.8,$129126.05
apartment,,43.7755615,23.7246154,411.6,$236616.80
apartment,,-7.6559369,109.5895384,206.8,$229910.17
house,Alabama,33.3639393,,219.6,$78645.72
house,,13.8135951,,387.6,$121731.89
apartment,,22.826877,107.840624,447.7,$184107.97
apartment,,51.898029,21.6132509,348.3,$173989.70
apartment,,34.749864,,84.2,$231045.31
apartment,,44.1580429,133.2645474,448.6,$219080.79
house,,52.2542902,19.034146,289.9,$193613.32
apartment,,13.9142931,-87.921223,104.8,$27215.95
house,,16.15523,43.42102,473.9,$47114.81
apartment,,21.912701,111.902604,220.3,$123723.45
house,,52.1350237,,174.3,$110886.81
apartment,,13.717481,5.3520876,430.6,$139980.96
house,,10.8325561,5.8274722,434.1,$268197.02
apartment,,11.3421375,-73.0405277,224.6,$245355.44
house,,8.1113884,123.8961588,242.0,$288780.29
apartment,,61.609528,90.129524,233.0,$115280.40
house,,21.820325,112.052296,333.2,$86405.49
apartment,,-31.1846901,24.9491323,130.9,$214476.63
house,,27.229632,115.135507,408.5,$58446.58
apartment,,35.5262299,140.3233207,393.7,$128860.09
apartment,,23.073914,114.41958,131.6,$287791.93
apartment,,12.5049537,107.6925674,185.6,$122235.25
house,,7.1402468,40.7107871,161.6,$73429.26
apartment,,41.7730238,123.3561121,358.8,$271555.14
apartment,Rhône-Alpes,45.632343,5.112589,423.5,$299666.43
apartment,,-26.183307,27.6830843,326.6,$61510.78
apartment,,50.0436913,19.0921373,454.9,$109272.05
apartment,,31.260385,121.59158,208.7,$150592.86
apartment,,11.9891869,106.7942405,185.9,$138537.22
apartment,,39.1251493,23.6799766,277.3,$172003.38
house,,35.218292,106.653158,191.8,$38462.58
apartment,,,-7.1111732,440.4,$95174.36
house,,30.6543991,117.5002172,294.3,$88339.64
house,,57.8721328,54.7288281,394.6,$102770.80
house,,14.5042512,,329.9,$72210.73
house,,5.5380625,46.3864672,111.1,$211749.88
apartment,,32.5639,120.396768,150.0,$103295.90
house,,58.629948,25.5572383,494.3,$191134.51
house,Alabama,33.708276,-85.7922905,158.6,$57399.33
house,Pays de la Loire,,-1.5401497,126.6,$166615.73
apartment,,48.9095,25.33926,223.9,$39081.82
apartment,,1.1016277,33.9303991,448.9,$293178.14
apartment,,-34.5906948,-58.4794982,445.3,$63973.36
house,,50.5982316,17.3802606,297.4,$72024.10
house,Porto,41.0394198,-8.5359207,497.2,$100802.97
apartment,Midi-Pyrénées,47.785421,-3.2602564,237.6,$25478.50
apartment,,,77.002783,87.7,$204399.96
house,Kronoberg,56.4477313,13.6156546,99.2,$175724.24
house,,55.8210459,38.0849522,114.9,$205887.80
apartment,,14.565668,121.0317737,167.1,$53287.85
house,,49.6166723,22.8581776,394.9,$137813.56
apartment,Manitoba,49.23062,,128.4,$201124.38
house,,54.3483636,17.8948288,364.1,$160046.70
house,,26.641774,118.17771,393.0,$86970.30
apartment,,56.9438063,51.0642669,391.1,$282971.54
apartment,,41.276688,80.238959,360.5,$55606.97
apartment,,-31.3221103,-64.2679738,187.7,$94325.60
house,Pays de la Loire,46.349041,3.556485,133.8,$189269.06
apartment,Porto,40.9860764,-8.530048,359.5,$25853.90
apartment,Coimbra,40.4387139,-8.7142851,446.1,$232678.06
house,,17.6102139,121.7177272,167.1,$141593.75
house,,41.2290466,24.8816753,162.1,$261996.52
apartment,,-20.9829904,-40.9990597,268.9,$45243.66
house,,14.5421715,-91.4130682,140.0,$33084.48
house,,-2.9252,119.9413,401.3,$125655.60
